Issue ID,Parent ID,Issue Type,Summary,Description,Labels,Story Points,Sprint,Assignee Role
CDP-1401,CDP-11,Story,CDP-1401 System verification against the hazard log,"As a clinical safety officer, I want every MVP hazard control's test executed with evidence attached, so that the Day-70 decision rests on traceable evidence.

Acceptance criteria:
- All controls verified or residual risk recorded
- Fault-injection suite green

Depends on: CDP-102, CDP-1101
Addresses review findings: G-01",cdp test-window lead g-01,3,CDP Test window (Days 61–70),Lead engineer
CDP-109,CDP-11,Story,CDP-109 Clinician UAT,"As a clinical reviewer, I want at least three clinicians to work the 25 scripted cases in staging, so that the primary safety control works for real users.

Acceptance criteria:
- No open critical usability issues
- Findings logged as hazards or Phase 2 stories

Depends on: CDP-803, CDP-1107
Addresses review findings: G-12",cdp test-window e3 g-12,3,CDP Test window (Days 61–70),Engineer 3 · Logic & review UI
CDP-1402,CDP-11,Story,CDP-1402 Held-out evaluation report,"As a product owner, I want the frozen held-out run compared with pre-registered thresholds, so that extraction quality is known, not assumed.

Acceptance criteria:
- Run by the restricted release job
- Per-slice results and failure classes

Depends on: CDP-1403, CDP-505, CDP-107
Addresses review findings: G-08",cdp test-window e2 g-08,3,CDP Test window (Days 61–70),Engineer 2 · Evidence & AI
CDP-1405,CDP-11,Story,CDP-1405 Data traceability check,"As a auditor, I want every evidence value on UAT runs traced from BigQuery row to snapshot to screen, so that provenance is proven end to end.

Acceptance criteria:
- Row hash, job ID and observed time match for every sampled value

Depends on: CDP-1107, CDP-403",cdp test-window e1,3,CDP Test window (Days 61–70),Engineer 1 · Data
CDP-1103,CDP-11,Story,CDP-1103 Restore test,"As a on-call engineer, I want a timed PITR restore of staging, so that recovery works before real data exists.

Acceptance criteria:
- Restore time recorded; runbook updated

Depends on: CDP-204
Addresses review findings: G-05",cdp test-window e4 g-05,2,CDP Test window (Days 61–70),Engineer 4 · Platform
CDP-1106,CDP-11,Story,CDP-1106 Day-70 decision,"As a product owner, I want a documented decision: start Phase 2, fix-and-retest, or stop, so that the next commitment is based on evidence.

Acceptance criteria:
- Exit criteria scored with evidence links
- Phase 2 re-estimated with access status

Depends on: CDP-1401, CDP-109, CDP-1402, CDP-1103, CDP-1405",cdp test-window lead,2,CDP Test window (Days 61–70),Lead engineer
CDP-1102,CDP-11,Story,CDP-1102 Security review and pen test,"As a security reviewer, I want an independent review before real data, so that vulnerabilities are closed before shadow mode.

Acceptance criteria:
- No open critical/high findings

Depends on: CDP-901, CDP-1001, CDP-104
Addresses review findings: G-14",cdp phase-2 lead g-14,3,,Lead engineer
CDP-1105,CDP-11,Story,CDP-1105 Shadow evaluation protocol,"As a clinical lead, I want sampling, concordance measure and discordance review defined, so that pilot entry is measured.

Acceptance criteria:
- Signed before shadow starts
Addresses review findings: G-23",cdp phase-2 lead g-23,3,,Lead engineer
CDP-1104,CDP-11,Story,CDP-1104 Shadow mode in production,"As a clinical safety officer, I want real-patient runs with outputs hidden from clinicians, so that we measure without influencing care.

Acceptance criteria:
- Feature flag guarantees no clinician-facing output

Depends on: CDP-1102, CDP-1105, CDP-309, CDP-1210, CDP-209
Addresses review findings: G-23",cdp phase-2 e4 g-23,3,,Engineer 4 · Platform
CDP-1109,CDP-11,Story,CDP-1109 Go/no-go for supervised pilot,"As a product owner, I want a decision against shadow results and dual-annotated evals, so that pilot entry is defensible.

Acceptance criteria:
- Clinical, safety and security sign-offs

Depends on: CDP-1104, CDP-1003",cdp phase-2 lead,2,,Lead engineer
CDP-1003,CDP-11,Story,CDP-1003 Dual-annotated real-data eval set,"As a clinical safety officer, I want a de-identified eval set labeled by two clinicians, so that real-world extraction quality is measured.

Acceptance criteria:
- κ reported; stays inside the perimeter

Depends on: CDP-106, CDP-107, CDP-1305
Addresses review findings: G-07, G-08",cdp phase-2 e2 g-07 g-08,5,,Engineer 2 · Evidence & AI
CDP-1201,CDP-12,Story,CDP-1201 Access request pack for BigQuery P and C,"As a lead engineer, I want one pack naming data owner, cloud platform, privacy and InfoSec approvers with exact grants, so that approvals run in parallel from day one.

Acceptance criteria:
- Purpose, tables/columns, row scope, grants, data flow, retention
- Submitted in week 1; status reviewed every Tuesday",cdp mvp-70 lead,3,CDP I1 (Days 1–7),Lead engineer
CDP-1202,CDP-12,Story,CDP-1202 Minimum-necessary data specification,"As a privacy officer, I want exact tables, columns and row filters Tree A needs, each tied to an evidence key, so that requests are approvable and least-privilege.

Acceptance criteria:
- No column without an evidence key
- Metadata-only access requested first

Depends on: CDP-301
Addresses review findings: G-11",cdp mvp-70 e1 g-11,3,CDP I2 (Days 8–14),Engineer 1 · Data
CDP-1209,CDP-12,Story,CDP-1209 Identify document and care-team sources,"As a lead engineer, I want the systems holding documents and care-team assignments identified with owners, so that hidden integrations are scoped early.

Acceptance criteria:
- If no document source exists, re-scope CDP-5 at Day 30",cdp mvp-70 lead,2,CDP I2 (Days 8–14),Lead engineer
CDP-1208,CDP-12,Story,CDP-1208 Dev dataset and fixtures on real schemas,"As a engineer, I want a BigQuery dev dataset mirroring P and C schemas with synthetic rows, including amended, preliminary, missing-unit and local-code cases, so that humans and Devin build against realistic shapes without PHI.

Acceptance criteria:
- Schemas from INFORMATION_SCHEMA; rows synthetic
- Refreshed when source schemas change

Depends on: CDP-1202",cdp mvp-70 e1,3,CDP I3 (Days 15–21),Engineer 1 · Data
CDP-1203,CDP-12,Story,CDP-1203 Freshness and history gate for P and C,"As a clinical lead, I want measured load lag from specimen time to BigQuery, culture pending→final update lag, and whether corrections overwrite rows, so that we know by Day 30 whether BigQuery can meet Tree A's freshness rules.

Acceptance criteria:
- p50/p95 lag from load-job history and sampled metadata
- If p95 lag exceeds a freshness limit, decision at Day 30

Depends on: CDP-1202
Addresses review findings: G-06",cdp mvp-70 e1 g-06,3,CDP I3 (Days 15–21),Engineer 1 · Data
CDP-1204,CDP-12,Story,CDP-1204 Authorized views on real P and C,"As a platform engineer, I want authorized views over real tables readable only by the worker identity, so that real data is reachable with least privilege.

Acceptance criteria:
- Base-table query denied by test
- Stretch: pulled into I6 if approved by Day 30

Depends on: CDP-1201, CDP-1202, CDP-201
Addresses review findings: G-11, G-14",cdp phase-2 e4 g-11 g-14,5,,Engineer 4 · Platform
CDP-1210,CDP-12,Story,CDP-1210 Production data validation,"As a clinical safety officer, I want prod query results reconciled with source application screens for a sample, so that shadow mode runs on verified data.

Acceptance criteria:
- Discrepancies logged as hazards

Depends on: CDP-309
Addresses review findings: G-10",cdp phase-2 e1 g-10,3,,Engineer 1 · Data
CDP-1301,CDP-13,Story,CDP-1301 Devin-ready development environment,"As a engineer, I want make dev, make test and make eval-smoke working from a clean machine, with docker compose Postgres, fixture adapters, and recorded model responses, so that Devin and humans run the same checks locally.

Acceptance criteria:
- Fresh clone to green tests under 15 minutes
- Devin Knowledge/Playbooks: implement story, add eval case, fix failing eval
- Architecture rules in the repo instructions: no LLM in executor, no eval(), never edit expected paths
Addresses review findings: G-22",cdp mvp-70 e4 g-22,5,CDP I1 (Days 1–7),Engineer 4 · Platform
CDP-1302,CDP-13,Story,CDP-1302 Guardrails for AI-written code,"As a lead engineer, I want enforced rules for Devin: dev-only credentials, no merge rights, protected test oracles, PR size limit, labels and Jira links, so that speed from Devin doesn't erode safety.

Acceptance criteria:
- CODEOWNERS: clinical lead on trees/expected paths/golden sets; two humans on executor/, validator/, authz/
- Devin credentials reach only the dev project; no access to holdout, staging or prod
- PRs over 400 changed lines (excluding generated) fail a check; ai-authored label and Devin session link required
- Definition of Done in PR template: tests, hazard ID, AX link if skill changed
Addresses review findings: G-22",cdp mvp-70 lead g-22,3,CDP I1 (Days 1–7),Lead engineer
CDP-1304,CDP-13,Story,CDP-1304 Arize AX spaces and ADK tracing,"As a evidence engineer, I want AX spaces for dev, staging and a restricted holdout, with OpenInference ADK tracing and custom spans, so that every agent run is inspectable from day 8.

Acceptance criteria:
- Spans carry git_sha, bundle_hash, skill_version, model_id, run hash
- Devin API key scoped to cdp-dev only
- Prod space created in Phase 2 with structural spans only",cdp mvp-70 e2,3,CDP I2 (Days 8–14),Engineer 2 · Evidence & AI
CDP-1305,CDP-13,Story,CDP-1305 Code evaluators and agent-eval PR lane,"As a product owner, I want field, unit, timestamp, citation-validity, abstention and false-acceptance evaluators running as an AX experiment on every skill/prompt/model PR, so that agent changes are measured against main before merging.

Acceptance criteria:
- Golden set v1 (≥ 40 clinician-reviewed synthetic cases) in AX
- Gate: zero false acceptances, 100% citation validity, accuracy ≥ baseline − 2 points
- Experiment link and delta table posted to the PR

Depends on: CDP-1304, CDP-401, CDP-202
Addresses review findings: G-08",cdp mvp-70 e2 g-08,6,CDP I4 (Days 22–28),Engineer 2 · Evidence & AI
CDP-1308,CDP-13,Story,CDP-1308 Failure-to-regression loop,"As a clinical lead, I want a one-command path from a failing trace to a reviewed regression case, so that every failure makes the eval set stronger.

Acceptance criteria:
- Case added by PR with clinical lead approval
- Failure class tagged: source, extraction, policy, tree, workflow

Depends on: CDP-1305, CDP-502",cdp mvp-70 e2,2,CDP I7 (Days 43–49),Engineer 2 · Evidence & AI
CDP-1403,CDP-13,Story,CDP-1403 Frozen held-out set and release eval job,"As a clinical safety officer, I want a frozen, hashed held-out set only the human-triggered release job can read, so that the Day-70 eval can't have been tuned against.

Acceptance criteria:
- Patient-disjoint from golden set; hash recorded
- Devin and PR lanes have no read access

Depends on: CDP-1305
Addresses review findings: G-08",cdp mvp-70 e2 g-08,3,CDP I8 (Days 50–56),Engineer 2 · Evidence & AI
